------------------------------------------------------------------------------------------------------------------------------------
        type    it        mer  rhomer       |dx|  rhodx   lin        |x|  ntrial      alpha        eta      |F_h|        N  meshiter
------------------------------------------------------------------------------------------------------------------------------------
   newton        0  2.164e+00    0.88  6.182e+01    nan     0  1.679e+01      14  1.782e-02  1.218e+00  1.886e+00       11         0
   newton        1  1.847e+00    0.85  2.521e+01   0.41     0  2.312e+01       0  1.000e+00  1.145e+00  1.527e+00       11         0
   newton        2  1.162e+00    0.63  2.112e+00   0.08     0  2.426e+01       0  1.000e+00  1.097e+00  4.044e-01       11         0
   newton        3  5.041e-01    0.43  8.888e+00   4.21     0  2.460e+01       0  1.000e+00  4.130e-01  3.046e-01       12         1
   newton        4  4.162e-01    0.83  1.104e+00   0.12     0  2.488e+01       0  1.000e+00  4.127e-01  5.715e-02       12         0
   newton        5  1.489e-01    0.36  5.716e+00   5.18     0  2.510e+01       0  1.000e+00  1.455e-01  3.361e-02       13         1
   newton        6  5.233e-02    0.35  3.011e+00   0.53     0  2.534e+01       0  1.000e+00  5.224e-02  3.195e-03       14         1
   newton        7  2.068e-02    0.40  1.330e+00   0.44     0  2.540e+01       0  1.000e+00  2.067e-02  8.005e-04       16         1
   newton        8  2.338e-03    0.11  6.394e-01   0.48     0  2.541e+01       0  1.000e+00  2.100e-03  1.083e-03       23         2
   newton        9  2.590e-05    0.01  7.868e-02   0.12     0  2.541e+01       0  1.000e+00  2.565e-05  3.762e-06       89         4
   newton       10  9.524e-07    0.04  1.475e-03   0.02     0  2.541e+01       0  1.000e+00  9.522e-07  2.266e-08      327         5
   newton       11  6.072e-08    0.06  1.195e-04   0.08     0  2.541e+01       0  1.000e+00  6.072e-08  2.410e-10      727         4
   newton       12  3.055e-10    0.01  2.111e-06   0.02     0  2.541e+01       0  1.000e+00  3.055e-10  1.813e-13     3818         5
   newton       13  1.032e-10    0.34  1.065e-08   0.01     0  2.541e+01       0  1.000e+00  1.032e-10  2.446e-13     5592         1
